"PLT_CN","LON_PUBLIC","LAT_PUBLIC","STATECD","UNITCD","COUNTYCD","PLOT","PLOT_ID","COUNTYFIPS"
"40416175010690",-105.840553,41.642938,56,2,1,80994,"PID560200180994","56001"
"40416176010690",-105.781421,41.643507,56,2,1,86799,"PID560200186799","56001"
"40416177010690",-105.726178,41.636609,56,2,1,85231,"PID560200185231","56001"
"40416178010690",-105.543909,41.640788,56,2,1,86778,"PID560200186778","56001"
"40416179010690",-105.477936,41.644196,56,2,1,87541,"PID560200187541","56001"
"40416180010690",-105.42189,41.638312,56,2,1,81577,"PID560200181577","56001"
"40416181010690",-105.363351,41.645271,56,2,1,89016,"PID560200189016","56001"
"40416182010690",-106.013787,41.598568,56,2,1,84969,"PID560200184969","56001"
"40416183010690",-105.9724,41.596875,56,2,1,87084,"PID560200187084","56001"
"40416184010690",-105.902373,41.599686,56,2,1,87735,"PID560200187735","56001"
"40416185010690",-105.723419,41.595044,56,2,1,89891,"PID560200189891","56001"
"40416186010690",-105.53002,41.590233,56,2,1,90174,"PID560200190174","56001"
"40416187010690",-105.475166,41.600975,56,2,1,87592,"PID560200187592","56001"
"40416188010690",-105.407197,41.596772,56,2,1,88294,"PID560200188294","56001"
"40416189010690",-106.019027,41.54909,56,2,1,87133,"PID560200187133","56001"
"40416190010690",-105.961198,41.554473,56,2,1,80780,"PID560200180780","56001"
"40416191010690",-105.90296,41.553668,56,2,1,81242,"PID560200181242","56001"
"40416192010690",-105.720367,41.553743,56,2,1,81126,"PID560200181126","56001"
"40416193010690",-105.65992,41.549904,56,2,1,82339,"PID560200182339","56001"
"40416194010690",-105.601916,41.547097,56,2,1,83242,"PID560200183242","56001"
"40416195010690",-105.357716,41.555567,56,2,1,86500,"PID560200186500","56001"
"40416196010690",-105.299073,41.551921,56,2,1,80540,"PID560200180540","56001"
"40416197010690",-106.019215,41.500635,56,2,1,86217,"PID560200186217","56001"
"40416198010690",-105.898533,41.507444,56,2,1,87336,"PID560200187336","56001"
"40416199010690",-105.851829,41.508326,56,2,1,81321,"PID560200181321","56001"
"40416200010690",-105.778236,41.501373,56,2,1,90012,"PID560200190012","56001"
"40416201010690",-105.723942,41.506575,56,2,1,80893,"PID560200180893","56001"
"40416202010690",-105.599152,41.50447,56,2,1,80814,"PID560200180814","56001"
"40416203010690",-105.538615,41.505596,56,2,1,83684,"PID560200183684","56001"
"40416204010690",-105.416335,41.512446,56,2,1,82030,"PID560200182030","56001"
"40416205010690",-105.354998,41.505862,56,2,1,86676,"PID560200186676","56001"
"40416206010690",-105.301447,41.504151,56,2,1,81637,"PID560200181637","56001"
"40416207010690",-105.902626,41.456754,56,2,1,89420,"PID560200189420","56001"
"40416208010690",-105.783778,41.456375,56,2,1,82220,"PID560200182220","56001"
"40416209010690",-105.717612,41.457422,56,2,1,86597,"PID560200186597","56001"
"40416210010690",-105.533395,41.461272,56,2,1,80727,"PID560200180727","56001"
"40416212010690",-105.422197,41.467285,56,2,1,86793,"PID560200186793","56001"
"40416213010690",-106.014903,41.411796,56,2,1,81910,"PID560200181910","56001"
"40416214010690",-105.957014,41.415456,56,2,1,82852,"PID560200182852","56001"
"40416215010690",-105.89866,41.413337,56,2,1,84800,"PID560200184800","56001"
"40416216010690",-105.723227,41.413214,56,2,1,83707,"PID560200183707","56001"
"40416217010690",-105.652502,41.417751,56,2,1,87924,"PID560200187924","56001"
"40416218010690",-105.416399,41.420117,56,2,1,86382,"PID560200186382","56001"
